CapturedAt,Time,Symbol,Expiry,Underlying,VIX,Strike,CE_LTP,CE_OI,CE_OI_Chg,CE_Vol,PE_LTP,PE_OI,PE_OI_Chg,PE_Vol
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,23950,508.1,4206,-38,325,1.3,81169,9825,166800
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24000,452.25,55998,-287,2842,1.4,261782,12250,265218
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24050,407,13076,-169,640,1.6,88258,2505,133204
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24100,353,18930,-293,3532,1.9,164520,2191,263293
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24150,303.6,9084,-45,2245,2.2,97596,1191,209670
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24200,255,27351,-255,16831,3.05,169367,17519,321613
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24250,206.25,10099,561,13488,4.55,117661,23939,302996
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24300,161.75,53997,8050,81836,7.6,269375,56673,405096
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24350,116.6,57411,6032,104068,13.75,228249,64031,355062
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24400,78.6,190658,28665,339312,24.85,333502,121195,532455
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24450,46.7,223990,94456,564925,44.55,204625,129008,440636
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24500,25.55,342968,138721,674846,73.8,129953,77831,237011
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24550,12.35,151418,65425,335555,110.8,16795,10356,47174
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24600,5.65,242299,80290,369111,154.4,23115,11006,37752
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24650,2.6,156201,39176,321588,200,3148,1555,6721
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24700,1.6,162366,11738,256479,249.9,4436,1901,6266
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24750,1.1,59399,4345,104765,299,868,196,695
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24800,0.9,122925,28873,204117,346.85,1970,297,1228
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24850,0.85,40154,4453,60505,396,378,38,107
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24900,0.75,65111,15713,100201,446,535,78,207
09:20,09:18,NIFTY,07-Jul-2026,24456.60,11.8100,24950,0.75,34514,10737,62868,491.2,160,36,58
09:25,09:23,NIFTY,07-Jul-2026,24453.85,11.8400,23950,494.85,4058,-186,561,1.15,82280,10936,255742
09:25,09:23,NIFTY,07-Jul-2026,24453.85,11.8400,24000,445.85,55728,-557,4490,1.3,256033,6501,434893
09:25,09:23,NIFTY,07-Jul-2026,24453.85,11.8400,24050,398.1,12971,-274,988,1.5,89374,3621,215604
