CapturedAt,Time,Symbol,Expiry,Underlying,VIX,Strike,CE_LTP,CE_OI,CE_OI_Chg,CE_Vol,PE_LTP,PE_OI,PE_OI_Chg,PE_Vol
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,23950,471.7,4260,-3403,11563,4.1,72132,3713,908523
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24000,422,57369,-12105,123185,5,253611,39289,2081795
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24050,373,13324,-6450,30494,5.65,88023,15612,1036268
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24100,323.95,19510,-10815,148247,6.75,167703,45430,1910204
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24150,278,9213,-9382,151096,8.5,98235,30173,1819941
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24200,229.1,28418,-48003,816785,11.1,156354,28483,3246076
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24250,183.15,9895,-35680,918972,14.85,97830,45391,2576231
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24300,140.65,50666,-116607,3455327,21.65,219971,123986,5904827
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24350,101.5,52883,-63217,4521937,32.45,169824,135505,5505626
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24400,69,165425,-9570,9647320,49.4,218416,192714,8519580
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24450,44.7,150012,90469,7457386,74.55,75962,70622,3918625
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24500,26.65,215472,39933,7938382,107,55958,34951,2692543
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24550,15.25,88035,19257,3882128,145.55,6541,4253,526448
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24600,8.4,167125,32626,4856300,188.05,12477,8377,508043
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24650,4.45,118710,54031,3384613,236.2,1622,1001,88344
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24700,2.8,152966,39161,3398779,284.45,2565,1325,89749
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24750,1.6,55298,-1733,2145209,331.1,700,319,10901
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24800,1.35,97582,-15780,2013379,381.15,1713,866,20690
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24850,1.15,35819,-347,684793,431.95,357,208,3929
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24900,0.8,49475,-19109,705575,483,475,101,2986
18:52,15:30,NIFTY,07-Jul-2026,24430.35,11.8200,24950,0.75,23793,-4592,285346,535.65,136,98,577
